Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR13675780_1										0.8067179317827994	0.44699721658725294	1.402321083172147	0.0	0.0	0.0	94.54285983865641
SRR13675780_2										0.36915601264329856	0.0	1.5379534839835827	0.0	0.0	0.0	94.54285983865641
SRR13675781_1										5.728294077067114	4.295604612200651	13.858775992904308	1.50537104562925	49.759781216122995	14.93914457475116	0.0
SRR13675781_2										6.881344239676753	8.232728885384844	10.779047994481129	0.0	54.787129200748986	8.091061397457375	0.0
SRR13675782_1										5.4206641720357505	3.1623667107447315	11.546577385139127	8.855939753725535	49.6853576419173	10.183908692757129	0.0
SRR13675782_2										4.524097571955096	5.1224338594566206	15.594256721904923	25.9497885190708	37.538568306933385	0.0	0.0
SRR13675783_1										4.748245172443271	2.7079909955262584	10.293405267807106	9.544932134003286	50.58177638890208	11.127363911816946	0.0
SRR13675783_2										2.783028276707098	2.3764971837273583	22.398153512979547	19.235189635356807	42.73895574700089	0.0	0.0
SRR13675784_1										4.71525684602065	2.4418008080548965	6.3586224587956135	5.428718014493683	11.65426794074264	0.0	62.21060732379914
SRR13675784_2										6.2159302251010065	1.9527993330340536	13.695247867632911	7.395946899249663	0.0	0.0	62.21060732379914
SRR13675785_1										4.677677233574137	2.0349737571257567	6.839052075572781	6.5084002310377445	28.988540193033707	32.235625015695504	9.782272038573259
SRR13675785_2										4.643356409204678	3.2470848226617894	6.484124525995933	7.736416068842551	60.2740643389893	6.776270079774989	0.0
SRR13675786_1										5.6095843323999395	4.545683193883197	17.809654756115965	17.875886584282096	42.05637250792267	0.0	0.0
SRR13675786_2										6.533476416438908	4.440047619846074	28.13930481731753	18.351246667449153	29.506698636798067	0.0	0.0
SRR13675787_1										5.870026478685535	3.8543146228979253	23.65283111508584	10.459080786294212	24.92678906482894	19.25842144948884	0.0
SRR13675787_2										5.783225489680327	5.5359741876654915	33.44380731933996	14.009153558840548	28.132288214354606	0.0	0.0
SRR13675788_1										4.61387202383969	1.0673126628082588	4.037138020859729	2.8532622467286313	20.299212438804368	14.94136368704325	45.23560952371299
SRR13675788_2										3.2343729411406965	1.2305010186602339	4.855106984664348	3.0863884693743096	14.145693753230827	64.98545495089145	0.0
SRR13675789_1										6.327768039311474	4.369857371380403	18.023506422598352	9.862352366447311	45.05206088297557	5.1189210417923885	0.0
SRR13675789_2										6.945601885111641	6.47336609289539	10.414092358975832	24.968150425778518	39.638112206289456	0.0	0.0
SRR13675790_1										5.01755092394016	4.15794956188342	17.463388159910366	9.47224678087168	53.16135470373516	0.0	0.0
SRR13675790_2										4.955400519962535	4.466075508364044	21.707998144241458	27.466101769098117	29.663249853377565	0.0	0.0
SRR13675791_1										4.941437648319682	3.310878052514736	12.47703437189007	10.063729618005054	41.68261501952079	17.09408252315701	0.0
SRR13675791_2										3.9902778841001303	3.041031922223073	17.73233560437878	18.221312102886014	46.04129985455102	0.0	0.0
SRR13675792_1										7.6033057851239665	0.0	0.0	0.0	0.0	0.0	0.0
